,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
59,1962,12/1/2014 00:25:34,12/1/2014 00:58:16,450,W 49 St & 8 Ave,40.76227205,-73.98788205,265,Stanton St & Chrystie St,40.72229346,-73.99147535,20841,Subscriber,1974.0,1
60,1807,12/1/2014 00:25:40,12/1/2014 00:55:47,469,Broadway & W 53 St,40.76344058,-73.98268129,268,Howard St & Centre St,40.71910537,-73.99973337,17991,Subscriber,1984.0,1
61,279,12/1/2014 00:26:09,12/1/2014 00:30:48,499,Broadway & W 60 St,40.76915505,-73.98191841,449,W 52 St & 9 Ave,40.76461837,-73.98789473,19043,Subscriber,1975.0,1
62,1783,12/1/2014 00:26:10,12/1/2014 00:55:53,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,21668,Subscriber,1963.0,1
63,1128,12/1/2014 00:26:26,12/1/2014 00:45:14,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,511,E 14 St & Avenue B,40.72938685,-73.97772429,19525,Subscriber,1989.0,1
64,368,12/1/2014 00:26:29,12/1/2014 00:32:37,490,8 Ave & W 33 St,40.751551,-73.993934,458,11 Ave & W 27 St,40.751396,-74.00522600000001,17538,Subscriber,1981.0,1
65,264,12/1/2014 00:26:43,12/1/2014 00:31:07,285,Broadway & E 14 St,40.73454567,-73.99074142,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,19857,Subscriber,1986.0,1
66,275,12/1/2014 00:26:44,12/1/2014 00:31:19,236,St Marks Pl & 2 Ave,40.7284186,-73.98713956,511,E 14 St & Avenue B,40.72938685,-73.97772429,16419,Subscriber,1993.0,1
67,895,12/1/2014 00:26:55,12/1/2014 00:41:50,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,291,Madison St & Montgomery St,40.713126,-73.984844,19598,Subscriber,1975.0,1
68,453,12/1/2014 00:27:35,12/1/2014 00:35:08,161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,21640,Subscriber,1996.0,1
69,344,12/1/2014 00:27:56,12/1/2014 00:33:40,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,15982,Subscriber,1990.0,1
70,616,12/1/2014 00:30:19,12/1/2014 00:40:35,491,E 24 St & Park Ave S,40.74096374,-73.98602213,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,18805,Subscriber,1985.0,1
71,338,12/1/2014 00:30:27,12/1/2014 00:36:05,475,E 16 St & Irving Pl,40.73524276,-73.98758561,472,E 32 St & Park Ave,40.745712100000006,-73.98194829,17712,Subscriber,1988.0,1
72,691,12/1/2014 00:30:40,12/1/2014 00:42:11,482,W 15 St & 7 Ave,40.73935542,-73.99931783,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,18092,Subscriber,1975.0,1
73,455,12/1/2014 00:31:04,12/1/2014 00:38:39,494,W 26 St & 8 Ave,40.74734825,-73.99723551,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,15359,Subscriber,1979.0,1
74,300,12/1/2014 00:32:03,12/1/2014 00:37:03,325,E 19 St & 3 Ave,40.73624527,-73.98473765,433,E 13 St & Avenue A,40.72955361,-73.98057249,19297,Subscriber,1978.0,1
75,656,12/1/2014 00:33:01,12/1/2014 00:43:57,533,Broadway & W 39 St,40.75299641,-73.98721619,435,W 21 St & 6 Ave,40.74173969,-73.99415556,17139,Subscriber,1951.0,1
76,472,12/1/2014 00:33:40,12/1/2014 00:41:32,352,W 56 St & 6 Ave,40.76340613,-73.97722479,290,2 Ave & E 58 St,40.76020258,-73.96478473,20508,Subscriber,1990.0,1
77,605,12/1/2014 00:34:27,12/1/2014 00:44:32,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,489,10 Ave & W 28 St,40.75066386,-74.00176802,18781,Subscriber,1991.0,2
78,301,12/1/2014 00:34:50,12/1/2014 00:39:51,352,W 56 St & 6 Ave,40.76340613,-73.97722479,290,2 Ave & E 58 St,40.76020258,-73.96478473,18857,Subscriber,1968.0,1
79,832,12/1/2014 00:35:23,12/1/2014 00:49:15,237,E 11 St & 2 Ave,40.73047309,-73.98672378,492,W 33 St & 7 Ave,40.75019995,-73.99093085,15711,Subscriber,1974.0,1
80,567,12/1/2014 00:35:24,12/1/2014 00:44:51,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,238,Bank St & Washington St,40.7361967,-74.00859207,17871,Subscriber,1996.0,1
81,298,12/1/2014 00:36:43,12/1/2014 00:41:41,342,Columbia St & Rivington St,40.71739973,-73.98016555,307,Canal St & Rutgers St,40.71427487,-73.98990025,17180,Subscriber,1996.0,2
82,187,12/1/2014 00:37:21,12/1/2014 00:40:28,128,MacDougal St & Prince St,40.72710258,-74.00297088,303,Mercer St & Spring St,40.72362738,-73.99949601,15599,Subscriber,1981.0,1
83,199,12/1/2014 00:37:30,12/1/2014 00:40:49,444,Broadway & W 24 St,40.742354299999995,-73.98915076,446,W 24 St & 7 Ave,40.74487634,-73.99529885,17661,Subscriber,1964.0,1
84,139,12/1/2014 00:38:04,12/1/2014 00:40:23,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,504,1 Ave & E 15 St,40.73221853,-73.98165557,16412,Subscriber,1991.0,1
85,440,12/1/2014 00:38:13,12/1/2014 00:45:33,521,8 Ave & W 31 St,40.75044999,-73.99481051,497,E 17 St & Broadway,40.73704984,-73.99009296,16268,Subscriber,1982.0,1
86,428,12/1/2014 00:38:21,12/1/2014 00:45:29,345,W 13 St & 6 Ave,40.73649403,-73.99704374,470,W 20 St & 8 Ave,40.74345335,-74.00004031,19008,Subscriber,1968.0,1
87,182,12/1/2014 00:38:26,12/1/2014 00:41:28,510,W 51 St & 6 Ave,40.7606597,-73.98042047,450,W 49 St & 8 Ave,40.76227205,-73.98788205,18295,Subscriber,1960.0,1
88,159,12/1/2014 00:38:28,12/1/2014 00:41:07,294,Washington Square E,40.73049393,-73.99572140000001,382,University Pl & E 14 St,40.73492695,-73.99200509,20261,Subscriber,1994.0,1
89,459,12/1/2014 00:40:15,12/1/2014 00:47:54,251,Mott St & Prince St,40.72317958,-73.99480012,297,E 15 St & 3 Ave,40.734232,-73.986923,15713,Subscriber,1982.0,1
90,498,12/1/2014 00:40:36,12/1/2014 00:48:54,463,9 Ave & W 16 St,40.74206539,-74.00443172,521,8 Ave & W 31 St,40.75044999,-73.99481051,17511,Subscriber,1973.0,1
91,1416,12/1/2014 00:40:59,12/1/2014 01:04:35,160,E 37 St & Lexington Ave,40.748238,-73.978311,423,W 54 St & 9 Ave,40.76584941,-73.98690506,21119,Subscriber,1971.0,2
92,3144,12/1/2014 00:42:23,12/1/2014 01:34:47,447,8 Ave & W 52 St,40.76370739,-73.9851615,447,8 Ave & W 52 St,40.76370739,-73.9851615,21340,Customer,,0
93,3068,12/1/2014 00:42:43,12/1/2014 01:33:51,251,Mott St & Prince St,40.72317958,-73.99480012,336,Sullivan St & Washington Sq,40.73047747,-73.99906065,21337,Subscriber,1975.0,1
94,300,12/1/2014 00:42:52,12/1/2014 00:47:52,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,494,W 26 St & 8 Ave,40.74734825,-73.99723551,20125,Subscriber,1982.0,1
95,259,12/1/2014 00:43:15,12/1/2014 00:47:34,438,St Marks Pl & 1 Ave,40.72779126,-73.98564945,511,E 14 St & Avenue B,40.72938685,-73.97772429,19022,Subscriber,1984.0,1
96,362,12/1/2014 00:43:18,12/1/2014 00:49:20,521,8 Ave & W 31 St,40.75044999,-73.99481051,462,W 22 St & 10 Ave,40.74691959,-74.00451887,16047,Subscriber,1994.0,1
97,630,12/1/2014 00:43:44,12/1/2014 00:54:14,439,E 4 St & 2 Ave,40.726280700000004,-73.98978041,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,17939,Subscriber,1976.0,1
98,685,12/1/2014 00:43:55,12/1/2014 00:55:20,293,Lafayette St & E 8 St,40.73028666,-73.9907647,505,6 Ave & W 33 St,40.74901271,-73.98848395,18434,Subscriber,1991.0,1
99,183,12/1/2014 00:44:08,12/1/2014 00:47:11,265,Stanton St & Chrystie St,40.72229346,-73.99147535,401,Allen St & Rivington St,40.72019576,-73.98997825,20211,Subscriber,1988.0,2
100,487,12/1/2014 00:44:10,12/1/2014 00:52:17,369,Washington Pl & 6 Ave,40.73224119,-74.00026394,403,E 2 St & 2 Ave,40.72502876,-73.99069656,15358,Subscriber,1966.0,1
101,556,12/1/2014 00:44:25,12/1/2014 00:53:41,536,1 Ave & E 30 St,40.74144387,-73.97536082,512,W 29 St & 9 Ave,40.750072700000004,-73.99839279,15882,Subscriber,1979.0,1
102,473,12/1/2014 00:45:39,12/1/2014 00:53:32,538,E 48 St & Madison Ave,40.75666,-73.97668399999999,495,W 47 St & 10 Ave,40.76269882,-73.99301222,18248,Subscriber,1963.0,1
103,1096,12/1/2014 00:45:40,12/1/2014 01:03:56,497,E 17 St & Broadway,40.73704984,-73.99009296,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,17470,Subscriber,1982.0,1
104,1039,12/1/2014 00:45:43,12/1/2014 01:03:02,514,12 Ave & W 40 St,40.76087502,-74.00277668,285,Broadway & E 14 St,40.73454567,-73.99074142,17698,Subscriber,1989.0,2
105,172,12/1/2014 00:46:07,12/1/2014 00:48:59,307,Canal St & Rutgers St,40.71427487,-73.98990025,311,Norfolk St & Broome St,40.7172274,-73.98802084,18949,Subscriber,1986.0,2
106,2959,12/1/2014 00:46:25,12/1/2014 01:35:44,447,8 Ave & W 52 St,40.76370739,-73.9851615,447,8 Ave & W 52 St,40.76370739,-73.9851615,20946,Customer,,0
107,594,12/1/2014 00:47:56,12/1/2014 00:57:50,463,9 Ave & W 16 St,40.74206539,-74.00443172,267,Broadway & W 36 St,40.75097711,-73.98765428,19785,Subscriber,1987.0,1
108,731,12/1/2014 00:48:55,12/1/2014 01:01:06,252,MacDougal St & Washington Sq,40.73226398,-73.99852205,440,E 45 St & 3 Ave,40.75255434,-73.97282625,16545,Subscriber,1976.0,1
109,989,12/1/2014 00:48:58,12/1/2014 01:05:27,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,423,W 54 St & 9 Ave,40.76584941,-73.98690506,15659,Subscriber,1985.0,1
110,228,12/1/2014 00:50:02,12/1/2014 00:53:50,504,1 Ave & E 15 St,40.73221853,-73.98165557,536,1 Ave & E 30 St,40.74144387,-73.97536082,19993,Subscriber,1986.0,1
111,658,12/1/2014 00:50:37,12/1/2014 01:01:35,462,W 22 St & 10 Ave,40.74691959,-74.00451887,450,W 49 St & 8 Ave,40.76227205,-73.98788205,15083,Subscriber,1978.0,1
112,465,12/1/2014 00:52:09,12/1/2014 00:59:54,545,E 23 St & 1 Ave,40.736502,-73.97809472,507,E 25 St & 2 Ave,40.73912601,-73.97973776,18321,Subscriber,1989.0,1
113,137,12/1/2014 00:52:23,12/1/2014 00:54:40,391,Clark St & Henry St,40.69760127,-73.99344559,216,Columbia Heights & Cranberry St,40.70037867,-73.99548059,17014,Subscriber,1973.0,2
114,644,12/1/2014 00:52:32,12/1/2014 01:03:16,150,E 2 St & Avenue C,40.720873600000004,-73.98085795,296,Division St & Bowery,40.71413089,-73.99704679999999,20811,Subscriber,1995.0,1
115,154,12/1/2014 00:52:43,12/1/2014 00:55:17,494,W 26 St & 8 Ave,40.74734825,-73.99723551,388,W 26 St & 10 Ave,40.749717753,-74.002950346,20125,Subscriber,1982.0,1
116,441,12/1/2014 00:53:00,12/1/2014 01:00:21,499,Broadway & W 60 St,40.76915505,-73.98191841,495,W 47 St & 10 Ave,40.76269882,-73.99301222,19163,Subscriber,1985.0,1
