,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
936807,969,2014-06-30 23:51:39,2014-07-01 00:07:48,127,Barrow St & Hudson St,40.73172428,-74.00674436,195,Liberty St & Broadway,40.70905623,-74.01043382,17097,Customer,\N,0
936809,1157,2014-06-30 23:51:50,2014-07-01 00:11:07,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,251,Mott St & Prince St,40.72317958,-73.99480012,16267,Subscriber,1955,1
936812,890,2014-06-30 23:52:24,2014-07-01 00:07:14,318,E 43 St & Vanderbilt Ave,40.75320159,-73.9779874,280,E 10 St & 5 Ave,40.73331967,-73.99510132,19163,Subscriber,1970,2
936814,935,2014-06-30 23:52:41,2014-07-01 00:08:16,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,2008,Little West St & 1 Pl,40.70569254,-74.01677685,16711,Subscriber,1992,2
936815,1523,2014-06-30 23:52:42,2014-07-01 00:18:05,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,372,Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089,15432,Subscriber,1986,1
936816,1517,2014-06-30 23:52:50,2014-07-01 00:18:07,412,Forsyth St & Canal St,40.715815500000005,-73.99422366,372,Franklin Ave & Myrtle Ave,40.694528000000005,-73.958089,16600,Subscriber,1987,1
936817,861,2014-06-30 23:53:04,2014-07-01 00:07:25,531,Forsyth St & Broome St,40.71893904,-73.99266288,475,E 16 St & Irving Pl,40.73524276,-73.98758561,17968,Subscriber,1979,1
936818,504,2014-06-30 23:53:06,2014-07-01 00:01:30,474,5 Ave & E 29 St,40.7451677,-73.98683077,174,E 25 St & 1 Ave,40.7381765,-73.97738662,20779,Subscriber,1989,1
936819,789,2014-06-30 23:53:12,2014-07-01 00:06:21,401,Allen St & Rivington St,40.72019576,-73.98997825,377,6 Ave & Canal St,40.72243797,-74.00566443,17181,Subscriber,1983,1
936820,438,2014-06-30 23:53:14,2014-07-01 00:00:32,430,York St & Jay St,40.7014851,-73.98656928,313,Washington Ave & Park Ave,40.69610226,-73.96751037,21254,Subscriber,1982,2
936821,1133,2014-06-30 23:53:14,2014-07-01 00:12:07,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,521,8 Ave & W 31 St,40.75044999,-73.99481051,21079,Subscriber,1969,1
936822,1864,2014-06-30 23:53:19,2014-07-01 00:24:23,280,E 10 St & 5 Ave,40.73331967,-73.99510132,296,Division St & Bowery,40.71413089,-73.99704679999999,19109,Customer,\N,0
936824,967,2014-06-30 23:53:27,2014-07-01 00:09:34,453,W 22 St & 8 Ave,40.74475148,-73.99915362,440,E 45 St & 3 Ave,40.75255434,-73.97282625,21471,Subscriber,1966,1
936825,501,2014-06-30 23:53:29,2014-07-01 00:01:50,483,E 12 St & 3 Ave,40.73223272,-73.98889957,174,E 25 St & 1 Ave,40.7381765,-73.97738662,16395,Subscriber,1987,1
936828,883,2014-06-30 23:53:47,2014-07-01 00:08:30,471,Grand St & Havemeyer St,40.71286844,-73.95698119,307,Canal St & Rutgers St,40.71427487,-73.98990025,18955,Subscriber,1985,1
936829,1176,2014-06-30 23:53:54,2014-07-01 00:13:30,454,E 51 St & 1 Ave,40.75455731,-73.96592976,293,Lafayette St & E 8 St,40.73028666,-73.9907647,15025,Subscriber,1987,2
936830,4145,2014-06-30 23:53:54,2014-07-01 01:02:59,474,5 Ave & E 29 St,40.7451677,-73.98683077,523,W 38 St & 8 Ave,40.75466591,-73.99138152,18877,Subscriber,1980,2
936831,674,2014-06-30 23:53:54,2014-07-01 00:05:08,470,W 20 St & 8 Ave,40.74345335,-74.00004031,284,Greenwich Ave & 8 Ave,40.7390169121,-74.0026376103,21054,Subscriber,1976,2
936832,1278,2014-06-30 23:53:55,2014-07-01 00:15:13,223,W 13 St & 7 Ave,40.73781509,-73.99994661,349,Rivington St & Ridge St,40.71850211,-73.98329859,20637,Subscriber,1980,1
936833,1388,2014-06-30 23:53:55,2014-07-01 00:17:03,280,E 10 St & 5 Ave,40.73331967,-73.99510132,308,St James Pl & Oliver St,40.71307916,-73.99851193,21096,Customer,\N,0
936834,546,2014-06-30 23:53:56,2014-07-01 00:03:02,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,426,West St & Chambers St,40.71754834,-74.01322069,18051,Subscriber,1992,2
936835,1143,2014-06-30 23:53:56,2014-07-01 00:12:59,361,Allen St & Hester St,40.71605866,-73.99190759,314,Cadman Plaza West & Montague St,40.69383,-73.990539,18773,Subscriber,1962,1
936837,918,2014-06-30 23:54:14,2014-07-01 00:09:32,454,E 51 St & 1 Ave,40.75455731,-73.96592976,297,E 15 St & 3 Ave,40.734232,-73.986923,18351,Subscriber,1987,2
936838,332,2014-06-30 23:54:45,2014-07-01 00:00:17,307,Canal St & Rutgers St,40.71427487,-73.98990025,332,Cherry St,40.71219906,-73.97948148,20214,Subscriber,1960,2
936840,321,2014-06-30 23:55:07,2014-07-01 00:00:28,116,W 17 St & 8 Ave,40.74177603,-74.00149746,490,8 Ave & W 33 St,40.751551,-73.993934,16353,Subscriber,1980,1
936841,1349,2014-06-30 23:55:07,2014-07-01 00:17:36,280,E 10 St & 5 Ave,40.73331967,-73.99510132,308,St James Pl & Oliver St,40.71307916,-73.99851193,14714,Customer,\N,0
936843,1533,2014-06-30 23:55:32,2014-07-01 00:21:05,2008,Little West St & 1 Pl,40.70569254,-74.01677685,383,Greenwich Ave & Charles St,40.735238,-74.000271,15611,Subscriber,1984,2
936844,297,2014-06-30 23:55:35,2014-07-01 00:00:32,239,Willoughby St & Fleet St,40.69196566,-73.9813018,262,Washington Park,40.69178232,-73.97372989,14904,Subscriber,1977,2
936845,1639,2014-06-30 23:55:35,2014-07-01 00:22:54,497,E 17 St & Broadway,40.73704984,-73.99009296,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,19348,Subscriber,1988,1
936846,778,2014-06-30 23:55:36,2014-07-01 00:08:34,402,Broadway & E 22 St,40.740343200000005,-73.98955109,402,Broadway & E 22 St,40.740343200000005,-73.98955109,15153,Subscriber,1988,2
936847,1321,2014-06-30 23:55:36,2014-07-01 00:17:37,442,W 27 St & 7 Ave,40.746646999999996,-73.993915,327,Vesey Pl & River Terrace,40.715337899999994,-74.01658354,16450,Customer,\N,0
936848,277,2014-06-30 23:55:44,2014-07-01 00:00:21,239,Willoughby St & Fleet St,40.69196566,-73.9813018,262,Washington Park,40.69178232,-73.97372989,17521,Subscriber,1979,1
